Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5              Trial 
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS 

Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5              Trial 
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS 
SOF  WCTL SAB 13 SAB 17 SAB 12 SAB 17 SAB 16  WCTL SAB 16 SAB 15 SAB 12 SAB 18 SAB 15 {1=[0, 0, 0], 2=[0, 0, 0]} 0  0 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 15  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 12 {1=[4, 5, 3], 2=[4, 5, 3]} 3  1 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 15  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 11 {1=[4, 5, 3], 2=[4, 5, 3]} 3  1 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 15  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 11 {1=[4, 5, 3], 2=[4, 5, 3]} 4  1 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 15  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 11 {1=[4, 5, 3], 2=[4, 5, 3]} 4  2 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 15  WCTL SAB 16 SAB 13 SAB 12 SAB 20 SAB 11 {1=[4, 5, 3], 2=[4, 5, 3]} 4  2 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 14  WCTL SAB 16 SAB 13 SAB 12 SAB 20 SAB 11 {1=[4, 5, 3], 2=[4, 5, 3]} 4  2 
SOF  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 14  WCTL SAB 16 SAB 13 SAB 12 SAB 20 SAB 11 {1=[4, 5, 3], 2=[4, 5, 3]} 4  2 
TRY  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 14  WCTL SAB 16 SAB 13 SAB 12 SAB 20 SAB 11 {1=[4, 5, 3], 2=[4, 5, 3]} 4  2 
TRY  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 14  WCTL SAB 16 SAB 13 SAB 12 SAB 20 SAB 11 {1=[4, 1, 5], 2=[4, 1, 5]} 4  2 
TRY  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 14  WCTL SAB 16 SAB 13 SAB 12 SAB 20 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 4  2 
TRY  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 14  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 4  2 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 14  WCTL SAB 16 SAB 13 SAB 13 SAB 20 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 4  2 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 14  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 4  2 
WTC  WCTL SAB 13 SAB 20 SAB 10 SAB 15 SAB 14  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 4  2 
WTC  WCTL SAB 13 SAB 20 SAB 11 SAB 15 SAB 14  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 4  2 
WTC  WCTL SAB 13 SAB 20 SAB 11 SAB 15 SAB 13  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 4  2 
WTC  WCTL SAB 13 SAB 20 SAB 11 SAB 15 SAB 13  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 5  2 
WTC  WCTL SAB 13 SAB 20 SAB 11 SAB 15 SAB 13  WCTL SAB 16 SAB 14 SAB 13 SAB 20 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 5  3 
WTC  WCTL SAB 13 SAB 20 SAB 11 SAB 15 SAB 13  WCTL SAB 16 SAB 14 SAB 13 SAB 19 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 5  3 
WTC  WCTL SAB 12 SAB 20 SAB 11 SAB 15 SAB 13  WCTL SAB 16 SAB 14 SAB 13 SAB 19 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 5  3 
WTC  WCTL SAB 12 SAB 20 SAB 11 SAB 14 SAB 13  WCTL SAB 16 SAB 14 SAB 13 SAB 19 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 5  3 
WTC  WCTL SAB 12 SAB 20 SAB 11 SAB 14 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 11 {1=[5, 1, 4], 2=[5, 1, 4]} 5  3 
WTC  WCTL SAB 12 SAB 20 SAB 11 SAB 14 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 10 {1=[5, 1, 4], 2=[5, 1, 4]} 5  3 
SOF  WCTL SAB 12 SAB 20 SAB 11 SAB 14 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 10 {1=[5, 1, 4], 2=[5, 1, 4]} 5  3 
TRY  WCTL SAB 12 SAB 20 SAB 11 SAB 14 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 10 {1=[5, 1, 4], 2=[5, 1, 4]} 5  3 
TRY  WCTL SAB 12 SAB 20 SAB 11 SAB 14 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 10 {1=[3, 2, 1], 2=[3, 2, 1]} 5  3 
TRY  WCTL SAB 12 SAB 20 SAB 11 SAB 14 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
TRY  WCTL SAB 12 SAB 20 SAB 11 SAB 14 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
TRY  WCTL SAB 13 SAB 20 SAB 11 SAB 14 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 19 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
TRY  WCTL SAB 13 SAB 20 SAB 11 SAB 14 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
TRY  WCTL SAB 13 SAB 20 SAB 11 SAB 15 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
WTC  WCTL SAB 13 SAB 20 SAB 11 SAB 15 SAB 13  WCTL SAB 15 SAB 14 SAB 13 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
WTC  WCTL SAB 13 SAB 20 SAB 11 SAB 15 SAB 13  WCTL SAB 14 SAB 14 SAB 13 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
WTC  WCTL SAB 13 SAB 20 SAB 10 SAB 15 SAB 13  WCTL SAB 14 SAB 14 SAB 13 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 14 SAB 14 SAB 13 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 14 SAB 13 SAB 13 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 12  WCTL SAB 14 SAB 13 SAB 13 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 5  3 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 12  WCTL SAB 14 SAB 13 SAB 13 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 6  3 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 12  WCTL SAB 14 SAB 13 SAB 13 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 6  2 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 12  WCTL SAB 14 SAB 13 SAB 12 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 6  2 
Game 1 was won by team B by points.
EOG  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 12  WCTL SAB 14 SAB 13 SAB 12 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 6  2 
SOM  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 12  WCTL SAB 14 SAB 13 SAB 12 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 6  2 

Game 2
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5              Trial 
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS 
SOM  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 12  WCTL SAB 14 SAB 13 SAB 12 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 0  0 
TRY  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 12  WCTL SAB 14 SAB 13 SAB 12 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 0  0 
TRY  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 12  WCTL SAB 14 SAB 13 SAB 12 SAB 20 SAB 11 {1=[3, 4, 2], 2=[3, 4, 2]} 0  0 
TRY  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 12  WCTL SAB 14 SAB 13 SAB 12 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 0  0 
TRY  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 14 SAB 13 SAB 12 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 0  0 
WTC  WCTL SAB 13 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 14 SAB 13 SAB 12 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 0  0 
WTC  WCTL SAB 14 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 14 SAB 13 SAB 12 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 0  0 
WTC  WCTL SAB 14 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 14 SAB 13 SAB 11 SAB 20 SAB 11 {1=[3, 5, 2], 2=[3, 5, 2]} 0  0 
WTC  WCTL SAB 14 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 14 SAB 13 SAB 11 SAB 20 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 0  0 
WTC  WCTL SAB 14 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 14 SAB 13 SAB 11 SAB 21 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 0  0 
WTC  WCTL SAB 14 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 15 SAB 13 SAB 11 SAB 21 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 0  0 
WTC  WCTL SAB 14 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 15 SAB 13 SAB 11 SAB 21 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 1  0 
WTC  WCTL SAB 14 SAB 19 SAB 10 SAB 15 SAB 13  WCTL SAB 15 SAB 13 SAB 11 SAB 21 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 1  -1 
WTC  WCTL SAB 14 SAB 19 SAB 10 SAB 14 SAB 13  WCTL SAB 15 SAB 13 SAB 11 SAB 21 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 1  -1 
WTC  WCTL SAB 14 SAB 18 SAB 10 SAB 14 SAB 13  WCTL SAB 15 SAB 13 SAB 11 SAB 21 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 1  -1 
WTC  WCTL SAB 14 SAB 18 SAB  9 SAB 14 SAB 13  WCTL SAB 15 SAB 13 SAB 11 SAB 21 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 1  -1 
WTC  WCTL SAB 14 SAB 18 SAB  9 SAB 14 SAB 13  WCTL SAB 15 SAB 12 SAB 11 SAB 21 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 1  -1 
SOF  WCTL SAB 14 SAB 18 SAB  9 SAB 14 SAB 13  WCTL SAB 15 SAB 12 SAB 11 SAB 21 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 1  -1 
TRY  WCTL SAB 14 SAB 18 SAB  9 SAB 14 SAB 13  WCTL SAB 15 SAB 12 SAB 11 SAB 21 SAB 10 {1=[3, 5, 2], 2=[3, 5, 2]} 1  -1 
TRY  WCTL SAB 14 SAB 18 SAB  9 SAB 14 SAB 13  WCTL SAB 15 SAB 12 SAB 11 SAB 21 SAB 10 {1=[3, 2, 4], 2=[3, 2, 4]} 1  -1 
TRY  WCTL SAB 14 SAB 18 SAB  9 SAB 14 SAB 13  WCTL SAB 15 SAB 12 SAB 11 SAB 21 SAB 10 {1=[5, 4, 2], 2=[5, 4, 2]} 1  -1 
TRY  WCTL SAB 14 SAB 18 SAB 10 SAB 14 SAB 13  WCTL SAB 15 SAB 12 SAB 11 SAB 21 SAB 10 {1=[5, 4, 2], 2=[5, 4, 2]} 1  -1 
